#{"t_start": 1679658883.9274201, "env_id": null}
r,l,t,success,is_success
0.299302,44,0.933148,False,False
0.288681,44,1.288428,False,False
0.156085,44,1.638462,False,False
0.332623,44,1.985806,False,False
0.502967,44,2.330525,False,False
0.243905,44,2.681222,False,False
0.121729,44,3.032001,False,False
0.205322,44,3.380464,False,False
-0.12971,44,3.734824,False,False
0.187319,44,4.081037,False,False
0.31191,44,4.431354,False,False
0.128095,44,4.784086,False,False
0.331986,44,5.126894,False,False
0.113709,44,5.469523,False,False
0.220384,44,5.81533,False,False
0.145736,44,6.160754,False,False
0.32498,44,6.511721,False,False
0.209817,44,6.853326,False,False
0.325411,44,7.196959,False,False
0.225752,44,7.540647,False,False
0.478578,44,7.882715,False,False
-0.011983,44,8.257836,False,False
0.427183,44,8.834311,False,False
0.426053,44,9.159395,False,False
0.426196,44,9.485141,False,False
0.426233,44,9.808806,False,False
0.426253,44,10.134461,False,False
0.395834,44,10.500413,False,False
0.18593,44,10.84586,False,False
0.273271,44,11.191662,False,False
0.263132,44,11.538447,False,False
0.360888,44,11.886817,False,False
0.248319,44,12.238909,False,False
0.129533,44,12.603855,False,False
0.216272,44,12.951741,False,False
0.322471,44,13.305536,False,False
0.289207,44,13.647524,False,False
0.308927,44,14.053124,False,False
0.270646,44,14.395007,False,False
-0.042699,44,14.75277,False,False
0.089746,44,15.100225,False,False
0.186946,44,15.44795,False,False
0.321061,44,15.797456,False,False
0.377584,44,16.144206,False,False
0.117229,44,16.497119,False,False
-0.030044,44,16.844587,False,False
-0.06169,44,17.189962,False,False
0.351322,44,17.532893,False,False
0.249336,44,17.875639,False,False
0.424501,44,18.452629,False,False
0.42423,44,18.775903,False,False
0.424495,44,19.101628,False,False
0.424337,44,19.427716,False,False
0.424096,44,19.754989,False,False
0.327525,44,20.103809,False,False
0.239994,44,21.421341,False,False
0.129771,44,21.766963,False,False
0.441185,44,22.114545,False,False
0.144711,44,22.459151,False,False
0.443386,44,22.809847,False,False
0.23209,44,23.155707,False,False
0.449175,44,23.504023,False,False
0.301615,44,23.849048,False,False
0.298028,44,24.1909,False,False
0.571508,44,24.584257,False,False
0.275967,44,24.926951,False,False
0.369699,44,25.271751,False,False
0.122434,44,25.621233,False,False
0.080813,44,25.972403,False,False
0.516224,44,26.339456,False,False
0.406876,44,26.718107,False,False
0.029505,44,27.091539,False,False
0.133116,44,27.483631,False,False
0.093027,44,27.853914,False,False
0.159012,44,28.200156,False,False
0.054128,44,28.550873,False,False
0.483435,44,29.131064,False,False
0.483584,44,29.456933,False,False
0.484207,44,29.785157,False,False
0.48457,44,30.11111,False,False
0.484345,44,30.43861,False,False
0.158979,44,30.802245,False,False
0.432795,44,31.149898,False,False
-0.036184,44,31.497791,False,False
-0.012336,44,31.849681,False,False
0.272812,44,32.198931,False,False
0.417789,44,32.544863,False,False
0.276376,44,32.890667,False,False
0.443466,44,33.236048,False,False
0.389779,44,33.581709,False,False
0.136234,44,33.926327,False,False
0.148438,44,34.269136,False,False
0.424328,44,34.615797,False,False
0.250818,44,34.960172,False,False
0.489064,44,35.307965,False,False
0.28722,44,35.652794,False,False
0.418028,44,35.996285,False,False
-0.077457,44,36.344486,False,False
-0.030353,44,36.695741,False,False
0.454694,44,37.041327,False,False
0.481775,44,37.386861,False,False
0.435505,44,37.739678,False,False
0.053134,44,38.084513,False,False
0.484196,44,38.66178,False,False
0.485746,44,39.005797,False,False
0.485433,44,39.345554,False,False
0.485439,44,39.685933,False,False
0.485583,44,40.012536,False,False
0.221168,44,40.371202,False,False
-0.104785,44,40.723141,False,False
0.298393,44,42.097666,False,False
-0.011017,44,42.453685,False,False
0.245001,44,42.79634,False,False
0.264589,44,43.156904,False,False
0.396784,44,43.513356,False,False
0.343513,44,43.886982,False,False
0.342262,44,44.266458,False,False
0.365723,44,44.615957,False,False
0.297703,44,44.96722,False,False
0.088445,44,45.31852,False,False
0.063711,44,45.667154,False,False
0.102155,44,46.025679,False,False
